id,label,type,sign,element,modality,ruling_planet,symbol,korean_name,dates,personality,strengths,weaknesses,love_style,career,health,saju_correlation,description
AS_aries,양자리,astro_sign,Aries,Fire,Cardinal,Mars,숫양,양자리,3.21-4.19,선구자적/용감/직접적/열정적,리더십/용기/솔직함/추진력,조급함/이기심/인내부족/공격성,열정적/정복적/직접적/빠른진행,군인/운동선수/CEO/개척자,두통/열/화상/얼굴부위,갑목병화-개척정신,양자리는 황도대의 첫 번째 별자리. 새로운 시작과 개척의 에너지로 두려움 없이 앞으로 나아감.
AS_taurus,황소자리,astro_sign,Taurus,Earth,Fixed,Venus,황소,황소자리,4.20-5.20,안정적/감각적/소유욕/충실,인내/신뢰성/예술적감각/안정,고집/느림/소유욕/변화거부,충실/감각적/안정추구/소유적,금융/예술/농업/요리,목/성대/갑상선,기토정재-안정소유,황소자리는 물질과 감각의 별자리. 안정을 추구하고 오감의 즐거움을 중시.
AS_gemini,쌍둥이자리,astro_sign,Gemini,Air,Mutable,Mercury,쌍둥이,쌍둥이자리,5.21-6.20,호기심/소통/다재다능/변화무쌍,지적능력/소통력/적응력/유머,산만함/피상적/변덕/불안정,지적자극/다양함/대화중시,작가/기자/영업/교육,폐/손/팔/신경계,상관식신-소통표현,쌍둥이자리는 소통과 지식의 별자리. 호기심이 많고 다양한 것에 관심을 가지며 말과 글에 재능.
AS_cancer,게자리,astro_sign,Cancer,Water,Cardinal,Moon,게,게자리,6.21-7.22,보호적/감정적/가정적/직관적,공감력/돌봄/직관/기억력,과민함/변덕/집착/방어적,헌신적/보호적/가정중심/감정적,간호/요리/부동산/상담,위/가슴/소화기,정인-모성돌봄,게자리는 가정과 감정의 별자리. 가족을 보호하고 돌보며 깊은 감정의 세계를 가짐.
AS_leo,사자자리,astro_sign,Leo,Fire,Fixed,Sun,사자,사자자리,7.23-8.22,창조적/리더적/당당/따뜻,리더십/창의성/관대함/충성심,오만/자기중심/허영/독선,드라마틱/관대/충성/주도적,연예/정치/경영/교육,심장/등/척추,병화상관-빛나는자아,사자자리는 창조와 자기표현의 별자리. 무대의 중심에 서서 빛나며 따뜻하게 이끌어감.
AS_virgo,처녀자리,astro_sign,Virgo,Earth,Mutable,Mercury,처녀,처녀자리,8.23-9.22,분석적/실용적/봉사적/완벽추구,분석력/세심함/봉사정신/실용성,비판적/걱정/강박/융통성부족,헌신적/실용적/봉사적/신중,의료/분석/비서/서비스,장/소화기/신경,편인정인-분석봉사,처녀자리는 분석과 봉사의 별자리. 세부사항을 놓치지 않고 실질적으로 도움을 줌.
AS_libra,천칭자리,astro_sign,Libra,Air,Cardinal,Venus,저울,천칭자리,9.23-10.22,조화/외교적/예술적/공정,균형감각/외교력/예술성/공정함,우유부단/의존적/회피/피상적,파트너중심/조화추구/로맨틱,법률/외교/예술/디자인,신장/허리/피부,정재정관-조화균형,천칭자리는 균형과 관계의 별자리. 조화를 추구하고 아름다움을 사랑하며 파트너십을 중시.
AS_scorpio,전갈자리,astro_sign,Scorpio,Water,Fixed,Pluto,전갈,전갈자리,10.23-11.21,강렬/통찰/변환/집요,통찰력/집중력/변환능력/충성심,집착/복수심/의심/극단적,깊고강렬/소유적/변환적,수사/심리/의료/연구,생식기/배설기,편관-심층변환,전갈자리는 변환과 깊이의 별자리. 표면 아래를 꿰뚫어 보고 깊이 파고들며 완전한 변환을 추구.
AS_sagittarius,사수자리,astro_sign,Sagittarius,Fire,Mutable,Jupiter,궁수,사수자리,11.22-12.21,낙관적/철학적/모험적/솔직,낙관/철학/모험정신/정직,과장/무책임/약속불이행/산만,자유로움/모험적/철학적,교육/여행/종교/출판,허벅지/간/엉덩이,인성역마-확장탐구,사수자리는 탐구와 확장의 별자리. 진리를 추구하고 넓은 세계로 나아가며 의미를 찾음.
AS_capricorn,염소자리,astro_sign,Capricorn,Earth,Cardinal,Saturn,염소,염소자리,12.22-1.19,야심적/책임감/현실적/인내,책임감/인내/야심/실용성,냉정/비관/융통성부족/일중독,신중/전통적/장기적/책임감,경영/정치/법률/금융,뼈/관절/피부/치아,정관토-성취책임,염소자리는 성취와 책임의 별자리. 높은 목표를 세우고 꾸준히 올라가며 사회적 성공을 추구.
AS_aquarius,물병자리,astro_sign,Aquarius,Air,Fixed,Uranus,물병,물병자리,1.20-2.18,독창적/인도주의/자유로움/혁신,독창성/인도주의/혁신/객관성,냉정/반항/예측불가/소외,독특/자유로움/우정중심/지적,과학/IT/사회운동/발명,발목/순환계/신경,상관역마-혁신자유,물병자리는 혁신과 인류의 별자리. 독특한 시각으로 미래를 보고 인류 전체를 위해 생각함.
AS_pisces,물고기자리,astro_sign,Pisces,Water,Mutable,Neptune,물고기,물고기자리,2.19-3.20,직관적/예술적/공감/영적,직관/공감/예술성/영성,환상/회피/경계부족/의존,낭만적/무조건적/헌신적/이상,예술/치유/종교/봉사,발/림프계/면역계,계수화개-영성직관,물고기자리는 영성과 통합의 별자리. 모든 경계를 넘어 하나가 되며 무조건적 사랑과 직관.
