id,label,type,time_period,hour_range,description,psychological_meaning,saju_correlation,astro_correlation,interpretation_weight,special_note
DT_dawn,새벽꿈(인시),dream_timing,새벽,03:00-05:00,"인시(寅時)에 꾸는 꿈. 밤과 새벽의 경계에서 꾸는 꿈으로 가장 영적이고 예지적 성격이 강하다.","무의식이 가장 깊은 상태에서 의식으로 올라오는 메시지. REM 수면 절정기로 가장 생생하고 상징적인 꿈.","인시(寅)-목(木) 기운. 새로운 시작의 에너지. 일간이 목인 경우 특히 중요.","12하우스 시간. 해왕성/목성 에너지. 영적 메시지 수신에 최적.",1.5,"새벽꿈은 가장 예지력이 강함. 기억에 남는다면 반드시 기록할 것."
DT_early_morning,이른아침꿈(묘시),dream_timing,이른아침,05:00-07:00,"묘시(卯時)에 꾸는 꿈. 동이 트는 시간의 꿈으로 새로운 시작과 활력의 메시지를 담는다.","잠에서 깨어나기 직전의 꿈으로 의식과 무의식의 경계에서 현실적 조언을 담는다.","묘시(卯)-목(木) 기운. 성장과 발전의 상징. 봄의 에너지와 연결.","1하우스 시간. 상승점 에너지. 자아와 새로운 시작 관련.",1.3,"아침에 기억나는 꿈은 당일 운세와 직접 연관될 가능성 높음."
DT_morning,아침꿈(진시),dream_timing,아침,07:00-09:00,"진시(辰時)에 꾸는 꿈. 아침 햇살 시간의 꿈으로 일상과 직장 관련 메시지가 많다.","사회적 역할과 일상에 대한 무의식의 반영. 그날의 과제를 암시.","진시(辰)-토(土) 기운. 현실적 기반과 재물 관련.","2하우스 시간. 가치와 재물 관련 메시지.",1.0,"아침잠에서 꾸는 꿈. 일상적 고민의 반영이 많음."
DT_late_morning,늦은아침꿈(사시),dream_timing,늦은아침,09:00-11:00,"사시(巳時)에 꾸는 꿈. 오전 활동 시간에 졸다가 꾸는 꿈으로 실제 상황과 밀접.","피로나 스트레스로 인한 보상적 꿈이 많음. 현재 상황에 대한 직접적 반영.","사시(巳)-화(火) 기운. 활동과 표현 관련.","3하우스 시간. 소통과 이동 관련 메시지.",0.8,"주간 졸음에서의 꿈. 현재 상황 반영이 강함."
DT_noon,한낮꿈(오시),dream_timing,정오,11:00-13:00,"오시(午時)에 꾸는 꿈. 점심시간 낮잠에서 꾸는 꿈. 양(陽) 에너지가 최고조.","의식이 강한 상태에서의 짧은 꿈. 당면 과제에 대한 해결책을 암시하기도.","오시(午)-화(火) 기운. 명예와 사회적 성취 관련.","10하우스 시간. 커리어와 사회적 지위 관련.",0.7,"낮잠 꿈은 짧고 실용적인 메시지가 많음."
DT_afternoon,오후꿈(미시),dream_timing,오후,13:00-15:00,"미시(未時)에 꾸는 꿈. 오후의 나른한 시간에 꾸는 꿈. 감정적 메시지가 담김.","긴장 이완 상태에서의 감정적 처리. 관계에 대한 메시지가 많음.","미시(未)-토(土) 기운. 가정과 관계 관련.","4하우스/7하우스 연결. 가정과 파트너십.",0.7,"오후 졸음에서의 꿈. 감정적 내용이 많음."
DT_late_afternoon,늦은오후꿈(신시),dream_timing,늦은오후,15:00-17:00,"신시(申時)에 꾸는 꿈. 해가 기울기 시작하는 시간의 꿈. 변화와 전환의 메시지.","하루의 전환점에서의 심리적 정리. 끝내야 할 것에 대한 메시지.","신시(申)-금(金) 기운. 결단과 정리 관련.","7하우스 시간. 관계와 계약 관련.",0.8,"전환기의 꿈. 마무리와 결정에 대한 암시."
DT_evening,저녁꿈(유시),dream_timing,저녁,17:00-19:00,"유시(酉時)에 꾸는 꿈. 해질녘의 꿈. 하루를 마무리하며 꾸는 꿈.","하루의 경험을 정리하는 과정. 감정적 해소와 반성의 메시지.","유시(酉)-금(金) 기운. 수확과 결실 관련.","8하우스 시간. 변환과 정리 관련.",0.9,"저녁잠의 꿈. 하루 경험의 심리적 정리."
DT_night,밤꿈(술시),dream_timing,밤,19:00-21:00,"술시(戌時)에 꾸는 꿈. 밤이 시작되는 시간의 꿈. 내면 탐구의 시작.","일상에서 내면으로 전환되는 시점. 숨겨진 감정이 올라오기 시작.","술시(戌)-토(土) 기운. 보호와 경계 관련.","9하우스 시간. 철학적 탐구와 여행 관련.",1.0,"초저녁 잠의 꿈. 내면 탐구의 시작."
DT_late_night,깊은밤꿈(해시),dream_timing,깊은밤,21:00-23:00,"해시(亥時)에 꾸는 꿈. 밤이 깊어가는 시간의 꿈. 무의식으로 깊이 들어감.","무의식의 깊은 층에 접근. 억압된 감정이나 원초적 욕구가 표현됨.","해시(亥)-수(水) 기운. 무의식과 직관 관련.","12하우스 시간. 무의식과 영적 영역.",1.2,"깊은 밤 꿈. 무의식의 깊은 메시지."
DT_midnight,자정꿈(자시),dream_timing,자정,23:00-01:00,"자시(子時)에 꾸는 꿈. 밤과 새벽 사이 가장 어두운 시간의 꿈. 음(陰) 에너지 최고조.","무의식이 가장 활성화되는 시간. 그림자 작업과 깊은 치유의 꿈.","자시(子)-수(水) 기운. 가장 깊은 무의식. 새로운 시작의 씨앗.","4하우스/12하우스 연결. 뿌리와 무의식의 깊이.",1.4,"한밤중 꿈. 가장 깊은 무의식의 메시지. 그림자 작업."
DT_after_midnight,새벽전꿈(축시),dream_timing,새벽전,01:00-03:00,"축시(丑時)에 꾸는 꿈. 새벽을 향해가는 시간의 꿈. 변환과 재탄생의 에너지.","깊은 무의식에서 의식으로 올라오는 과정. 재탄생과 변환의 메시지.","축시(丑)-토(土) 기운. 저장과 변환. 겨울에서 봄으로의 전환.","8하우스 에너지. 죽음과 재탄생의 상징.",1.3,"새벽 전 꿈. 변환과 재탄생의 깊은 메시지."
